,Investimento residencial,Preço dos imóveis,Taxa de juros,Duráveis,Crédito,gDuráveis,gCrédito,Inflação,gZ,Taxa Própria,Crise
1992-03-31,242.362,1.1733353923542635,0.06325428048986158,496.18,0.4710433333333333,0.0631996193041639,128098209.80413257,0.005813259789382622,0.27487962736338806,0.05710903106656917,0
1992-06-30,253.15900000000002,1.1762109249280959,0.06319871424526716,500.98900000000003,-0.72193,0.06650403373133491,-0.061283500959395915,0.007937870058190055,0.3043826461230783,0.05482564533852363,0
1992-09-30,255.113,1.1745164146613734,0.05970823732779209,512.092,0.9741933333333334,0.07121923362437019,-0.15416721026874558,0.0016433887251038185,0.205552910644094,0.057969582045156454,0
1992-12-31,268.33099999999996,1.17909672726112,0.06064733494702795,523.064,1.9732633333333334,0.13763944698504915,-0.15449096751642497,0.006678960255339283,0.31675409828028167,0.05361031353829038,0
1993-03-31,271.401,1.183548667870964,0.058096057570390436,527.852,2.5125333333333333,0.08134440186041186,170483.1082697934,0.008992934861461703,0.1898495245982284,0.048665477242088695,0
1993-06-30,278.005,1.187245781180177,0.05658474292162934,547.842,3.385173333333333,0.13370810392852048,-0.15450779741049964,0.009717274948936684,0.14286815758176188,0.046416426791413334,0
1993-09-30,290.939,1.1955950954034829,0.05449281714480084,556.638,5.597056666666667,0.12124745405373967,319906.39917595603,0.019197767871048012,0.24130669388026074,0.03463022622928125,0
1993-12-31,306.889,1.2038160376368854,0.05425299034719079,573.7959999999999,8.3492,0.14055480564017775,23958.389085972514,0.022683113090301268,0.2501130691483853,0.030869657328645106,0
1994-03-31,315.598,1.212796942050515,0.05569141667452327,588.8240000000001,8.56086,0.17996006784896826,3824.7752708914827,0.02711981942511263,0.3057310650063994,0.027817199813554794,0
1994-06-30,327.92900000000003,1.2203092708996517,0.06189639911559734,598.721,10.960956666666666,0.1324444276586526,2483.3757230123965,0.030927336986896158,0.36025437982544267,0.03004000477784885,0
1994-09-30,326.427,1.228874250065995,0.06276687400143015,609.31,11.053193333333335,0.13586990065916837,37.53161857088703,0.030910029223100075,0.1949192441073086,0.03090167315797432,0
