DATE,TCU
2010-07-01,74.5754000000000000
2010-10-01,75.0924000000000000
2011-01-01,75.6249000000000000
2011-04-01,75.8468666666666667
2011-07-01,76.4768000000000000
2011-10-01,76.8901333333333333
2012-01-01,77.2455666666666667
2012-04-01,77.3478000000000000
2012-07-01,77.0047333333333333
2012-10-01,77.0678000000000000
2013-01-01,77.3970666666666667
2013-04-01,77.4687666666666667
2013-07-01,77.4935666666666667
2013-10-01,77.8807666666666667
2014-01-01,78.2517333333333333
2014-04-01,79.0722666666666667
2014-07-01,79.1546666666666667
2014-10-01,79.3671333333333333
2015-01-01,78.4632333333333333
2015-04-01,77.2853333333333333
2015-07-01,77.1295333333333333
2015-10-01,76.1277333333333333
2016-01-01,75.6801333333333333
2016-04-01,75.1634666666666667
2016-07-01,75.2450666666666667
